numero;refOrganisme;codeMembre;nom;prenom;courriel;numeroTel;adressePostale;grade;dignite;titre;rang
0;3;4;BARATTERO;HERMINIO;BARATTERO.HERMINIO@yandex.com;800 Fond de Lavaux, 26160 Puygiron;Dame;Maitre;Philanthrope;Compagnon
1;9;2;BONIFAY;WOLFGANG;BONIFAY.WOLFGANG@protonmail.com;240 La Garenne-est, 78490 Galluis;Grand Chevalier;Maitre;Honorable;Novice
2;0;7;BAGDADI;YESSIN;BAGDADI.YESSIN@fastmail.com;958 Tennis, 51530 Moslins;Commandeur;Grand Maitre;Honorable;Compagnon
3;9;7;ALLINGRY;CHRISS;ALLINGRY.CHRISS@msn.com;425 Sarradials, 71620 Montcoy;Dame;Grand Maitre;Honorable;Novice
4;9;8;BOULLIN;ANNE-CLOTILDE;BOULLIN.ANNE-CLOTILDE@fastmail.com;163 Long de la Riviere de Clig, 09300 Carla-de-Roquefort;Sympathisant;Maitre;Protecteur;Compagnon
5;0;1;BOUCHY;LYLANA;BOUCHY.LYLANA@yandex.com;89 Montla, 51120 Broyes;Sympathisant;Grand Maitre;Honorable;Compagnon
6;2;9;BOULLE;KENSSY;BOULLE.KENSSY@ymail.com;68 La Basse Rivière, 14610 Cairon;Commandeur;Grand Chancelier;Protecteur;Novice
7;5;3;BROUSSELLE;MAXIMINO;BROUSSELLE.MAXIMINO@tutanota.com;538 Brevet, 37130 Les Essards;Commandeur;Maitre;Philanthrope;Compagnon
8;7;2;BATTET;BENZIANE;BATTET.BENZIANE@mac.com;209 La Chavanne, 58420 Vitry-Laché;Affilie;Grand Chancelier;Philanthrope;Compagnon
9;5;4;AUTHESSERRE;KHELLIL;AUTHESSERRE.KHELLIL@hotmail.com;634 Hotel L'Empreinte, 23700 Mainsat;Chevalier;Grand Chancelier;Honorable;Compagnon
